connnode,c2,c1,c0,PgMax,PgMin,RgMax,RgMin,PgPrev
8,0,120,0,130.7481537,0,100,-100,
8,0,2,0,11.60000038,0,100,-100,
8,0,2,0,145,0,100,-100,
8,0,2,0,23.20000076,0,100,-100,
8,0,80,0,346.9602268,0,100,-100,
8,0,80,0,591.1174685,0,100,-100,
8,0,1,0,2398.91761,0,100,-100,
8,0,1,0,1431.699511,0,100,-100,
8,0,1,0,2348.437261,0,100,-100,
8,0,1,0,187.6322556,0,100,-100,
8,0,1,0,12.1496757,0,100,-100,
8,0,1,0,36,0,100,-100,
8,0,1,0,33,0,100,-100,
9,0,100,0,22.0806694,0,100,-100,
9,0,44,0,47.81348339,0,100,-100,
9,0,44,0,49.17958545,0,100,-100,
9,0,120,0,14.68548012,0,100,-100,
9,0,80,0,66.3936275,0,100,-100,
9,0,1,0,388.6514564,0,100,-100,
9,0,1,0,1444.209188,0,100,-100,
9,0,1,0,459.2099384,0,100,-100,
9,0,1,0,44.70163774,0,100,-100,
10,0,1,0,338.3183403,0,100,-100,
11,0,44,0,17.56413736,0,100,-100,
11,0,44,0,34.34764588,0,100,-100,
11,0,44,0,409.8298745,0,100,-100,
11,0,44,0,27.02925707,0,100,-100,
11,0,5,0,1428.049816,0,100,-100,
11,0,2,0,29.14500046,0,100,-100,
11,0,2,0,30.45000076,0,100,-100,
11,0,2,0,71.05000305,0,100,-100,
11,0,2,0,27.84000015,0,100,-100,
11,0,2,0,14.5,0,100,-100,
11,0,1,0,11399.54927,0,100,-100,
11,0,1,0,1269.073725,0,100,-100,
11,0,1,0,490.3150721,0,100,-100,
11,0,1,0,0.916956663,0,100,-100,
12,0,100,0,7.97753191,0,100,-100,
12,0,44,0,70.94999695,0,100,-100,
12,0,44,0,1.951570788,0,100,-100,
12,0,44,0,1.951570788,0,100,-100,
12,0,44,0,629.3815556,0,100,-100,
12,0,44,0,629.3815556,0,100,-100,
12,0,44,0,17.56413736,0,100,-100,
12,0,44,0,629.3815556,0,100,-100,
12,0,120,0,5.30572176,0,100,-100,
12,0,2,0,101.5,0,100,-100,
12,0,2,0,98.59999847,0,100,-100,
12,0,2,0,16.81999969,0,100,-100,
12,0,2,0,39.15000153,0,100,-100,
12,0,80,0,23.98737447,0,100,-100,
12,0,1,0,918.8027944,0,100,-100,
12,0,1,0,884.0405418,0,100,-100,
13,0,100,0,8.547355652,0,100,-100,
13,0,44,0,8.78206868,0,100,-100,
13,0,120,0,5.68470192,0,100,-100,
13,0,5,0,1277.411646,0,100,-100,
13,0,5,0,1494.330675,0,100,-100,
13,0,80,0,25.70075768,0,100,-100,
13,0,1,0,3699.336476,0,100,-100,
13,0,1,0,768.3574846,0,100,-100,
13,0,1,0,833.2900443,0,100,-100,
14,0,100,0,7.97753191,0,100,-100,
14,0,100,0,129.6348877,0,100,-100,
14,0,44,0,2.537041893,0,100,-100,
14,0,44,0,40.59267028,0,100,-100,
14,0,120,0,5.30572176,0,100,-100,
14,0,120,0,86.21797943,0,100,-100,
14,0,2,0,20.59000015,0,100,-100,
14,0,2,0,48.57500076,0,100,-100,
14,0,2,0,15.65999985,0,100,-100,
14,0,80,0,23.98737447,0,100,-100,
14,0,80,0,389.7948242,0,100,-100,
14,0,1,0,182.3779092,0,100,-100,
14,0,1,0,530.42431,0,100,-100,
15,0,44,0,3.512827419,0,100,-100,
15,0,44,0,1.561256631,0,100,-100,
15,0,2,0,10.7300005,0,100,-100,
15,0,2,0,11.60000038,0,100,-100,
15,0,2,0,43.5,0,100,-100,
15,0,2,0,6.525000095,0,100,-100,
15,0,2,0,33.34999847,0,100,-100,
15,0,2,0,22.47500038,0,100,-100,
15,0,1,0,204.1052455,0,100,-100,
15,0,1,0,2903.41823,0,100,-100,
15,0,1,0,6.30407691,0,100,-100,
16,0,100,0,7.122796535,0,100,-100,
16,0,44,0,6.342604864,0,100,-100,
16,0,44,0,40.98298576,0,100,-100,
16,0,44,0,29.27356156,0,100,-100,
16,0,44,0,8.78206868,0,100,-100,
16,0,44,0,7.806283154,0,100,-100,
16,0,120,0,4.737251759,0,100,-100,
16,0,2,0,13.77499962,0,100,-100,
16,0,2,0,4.349999905,0,100,-100,
16,0,2,0,27.9849987,0,100,-100,
16,0,80,0,21.4172987,0,100,-100,
16,0,1,0,262.703202,0,100,-100,
16,0,1,0,1126.333118,0,100,-100,
17,0,100,0,189.751297,0,100,-100,
17,0,100,0,194.4523468,0,100,-100,
17,0,100,0,104.7051086,0,100,-100,
17,0,100,0,170.947113,0,100,-100,
17,0,100,0,63.39288712,0,100,-100,
17,0,100,0,178.3548126,0,100,-100,
17,0,44,0,1.170942473,0,100,-100,
17,0,44,0,39.03141682,0,100,-100,
17,0,44,0,8.78206868,0,100,-100,
17,0,44,0,21.46727947,0,100,-100,
17,0,44,0,11.70942526,0,100,-100,
17,0,120,0,126.200386,0,100,-100,
17,0,120,0,129.3269653,0,100,-100,
17,0,120,0,69.63760376,0,100,-100,
17,0,120,0,113.6940384,0,100,-100,
17,0,120,0,42.16154099,0,100,-100,
17,0,120,0,118.6207809,0,100,-100,
17,0,2,0,4.639999866,0,100,-100,
17,0,2,0,23.77999878,0,100,-100,
17,0,80,0,570.5568472,0,100,-100,
